H,K,L,Distance,2theta/TOF,Mult
0,0,-2,4.705,18.861012265033658,6
1,-1,2,3.8416,23.153078628287098,48
-1,0,3,2.9757,30.02998813756697,24
2,-2,2,2.7164,32.97451421944244,24
3,-1,2,2.5149,35.70179827482561,48
-4,0,0,2.3525,38.25876479185931,6
3,-3,0,2.2179,40.67996647738307,24
-2,0,4,2.1041,42.98623130099342,24
-3,-3,-2,2.0062,45.19670383138763,24
4,2,-2,1.9208,47.32565205275952,48
-5,0,-1,1.8454,49.385517368124596,24
5,2,1,1.718,53.324601272386786,48
4,0,4,1.6634,55.22125213531748,12
3,0,-5,1.6138,57.071211248712245,24
-2,4,4,1.5683,58.8868763785131,24
-6,1,1,1.5265,60.66596624510023,24
0,-2,-6,1.4878,62.41795710809945,24
-4,5,1,1.4519,64.14246829580173,48
6,2,-2,1.4186,65.8358626860435,48
-3,-6,1,1.3874,67.51210532506734,48
4,4,-4,1.3582,69.16665297599593,24
0,-1,7,1.3307,70.80745275187925,24
6,0,4,1.3049,72.42597447348359,24
-3,-6,3,1.2805,74.03315600716985,48
