H,K,L,Distance,2theta/TOF,Mult
0,0,-2,4.705,18.861012265033658,6
1,-1,2,3.841616,23.15298086371074,24
-1,0,3,2.975703,30.029957149738514,12
2,-2,2,2.716433,32.974102200326115,8
3,-1,2,2.514928,35.701387407570344,24
-4,0,0,2.3525,38.25876479185931,6
3,-3,0,2.217958,40.678855629244694,12
-4,1,-1,2.217958,40.678855629244694,24
-2,0,4,2.10414,42.98537350931335,12
-3,-3,-2,2.006219,45.19625212439017,24
4,2,-2,1.920808,47.32544291781888,24
-5,0,-1,1.845453,49.38400419400654,12
4,-1,-3,1.845453,49.38400419400654,24
5,2,1,1.718023,53.3238309699553,24
4,0,4,1.663469,55.21876610869064,12
3,3,-4,1.613802,57.07113402689171,24
3,0,-5,1.613802,57.07113402689171,12
-2,4,4,1.568333,58.885515347752815,24
6,0,0,1.568333,58.885515347752815,6
-6,1,1,1.526504,60.665790548497085,24
2,3,-5,1.526504,60.665790548497085,24
0,-2,-6,1.487852,62.415530786664014,12
-4,5,1,1.451995,64.1377704850139,24
6,2,-2,1.418611,65.83528746350316,24
-3,-6,1,1.387429,67.51050455214244,24
4,4,-4,1.358217,69.16566415487766,8
0,-1,7,1.330775,70.80286260478337,12
-4,-3,5,1.330775,70.80286260478337,24
5,0,-5,1.330775,70.80286260478337,12
6,0,4,1.304932,72.42391685979047,12
1,-2,-7,1.280539,74.03052454883336,24
-3,-6,3,1.280539,74.03052454883336,24
-5,-2,5,1.280539,74.03052454883336,24
